X1,Y1,Flag1
160.269,462.962,0
160.324,463.382,0
160.375,463.688,0
160.269,463.038,0
160.731,463.038,0
160.857,463.214,0
161.375,463.438,0
161.773,463.955,0
162.409,463.864,0
161.667,463.667,0
161.600,463.900,0
161.500,464.136,0
161.417,464.417,0
162.000,463.000,0
162.167,462.389,0
162.500,462.000,0
162.500,462.000,0
162.500,462.000,0
162.500,462.000,0
162.500,462.000,0
162.375,462.375,0
162.500,462.500,0
162.500,463.000,0
163.000,463.000,0
163.000,463.000,0
163.500,462.786,0
163.700,462.500,0
164.000,463.000,0
163.833,462.611,0
163.600,462.700,0
163.864,462.409,0
168.643,462.714,0
171.643,462.714,0
173.571,462.857,0
173.731,462.962,0
174.857,463.071,0
175.033,463.167,0
175.062,463.250,0
175.206,463.382,0
175.500,463.767,0
175.731,463.962,0
177.500,463.000,0
178.000,463.000,0
178.000,463.000,0
178.115,463.115,0
178.250,463.375,0
178.278,463.500,0
178.429,463.929,0
178.233,463.967,0
178.857,464.357,0
178.625,464.438,0
183.500,463.000,0
185.429,462.857,0
186.000,462.929,0
187.033,462.767,0
187.000,463.000,0
187.500,463.000,0
187.731,463.038,0
188.033,463.500,0
188.286,463.786,0
188.000,464.000,0
188.000,464.071,0
188.147,464.206,0
189.714,462.786,0
190.100,462.567,0
190.143,462.643,0
190.500,462.808,0
185.500,459.000,0
185.000,458.000,0
184.000,457.500,0
183.833,457.389,0
183.786,457.071,0
183.786,457.071,0
183.214,457.071,0
177.625,455.688,0
171.269,455.038,0
169.500,455.000,0
168.269,454.962,0
167.500,455.000,0
166.731,455.038,0
166.500,455.233,0
165.633,455.767,0
165.269,455.962,0
164.714,456.214,0
164.714,456.214,0
164.786,456.571,0
164.500,456.714,0
164.143,457.214,0
162.885,457.269,0
162.794,457.500,0
162.167,457.833,0
161.500,458.312,0
161.438,458.438,0
161.500,458.500,0
160.115,458.731,0
159.583,459.083,0
159.500,459.192,0
159.654,459.346,0
159.833,459.667,0
164.773,459.409,0
164.773,459.409,0
165.600,460.300,0
165.600,460.300,0
167.643,460.429,0
168.192,460.577,0
177.833,458.611,0
187.500,457.192,0
207.500,454.714,0
212.000,454.100,0
215.000,454.000,0
215.731,454.038,0
