X1,Y1,Flag1
164.9,344.1,0
168.5,357,0
172,365,0
172.3,366.1,0
172.682,369.136,0
172.722,372.056,0
172.667,371.75,0
172.955,372.227,0
177.5,382.929,0
177.333,382.333,0
180.808,391.5,0
182.8,397.1,0
184.25,398.875,0
187,403.5,0
186.7,403.1,0
187,403.5,0
191.214,396.214,0
192.5,395.125,0
192.25,392.5,0
180.409,381.136,0
179.038,378.808,0
177.571,376.5,0
177.917,376.833,0
175.714,374.071,0
168.056,362.389,0
165.853,359.029,0
165.289,358.184,0
154.567,343.567,0
152.853,340.912,0
149.778,335.222,0
143.5,321.85,0
142.262,318.786,0
132.3,308.767,0
128.8,305.85,0
128.132,305.553,0
141.595,297.833,0
144.395,295.132,0
147.15,293,0
159.125,282.438,0
160.375,281.312,0
166.1,280.167,0
168.625,279.188,0
172,273.5,0
176.433,267.233,0
177.167,266.5,0
182.571,255.571,0
184,253.75,0
183.409,254.773,0
182.955,255.318,0
180.333,256.917,0
179.864,257.136,0
182.833,252.5,0
184.7,250.3,0
188.929,242.071,0
189.5,242,0
191.5,238.071,0
187.318,239.227,0
186.5,233.5,0
186.917,232.667,0
188,227,0
188.1,226.6,0
191.167,227.278,0
191.7,227.9,0
196.3,229.7,0
195.833,229.5,0
194.833,234.333,0
190.389,238.722,0
187.167,247.5,0
186.75,248.25,0
183.833,252.5,0
175.2,268.1,0
173.583,270.833,0
173.833,270.5,0
167.5,285,0
167.5,284,0
167.167,284.5,0
157.654,293.731,0
155.967,295.5,0
155.577,296.115,0
145.125,304.25,0
140.5,307.125,0
138.5,314.029,0
135.794,325.853,0
135.286,328.929,0
135.357,327.929,0
134.333,329.667,0
145.033,338.5,0
146.889,340.167,0
146.75,340.188,0
158.111,357.278,0
161.15,362.35,0
163.029,365.265,0
166.222,374,0
168.633,384.233,0
169.688,387.312,0
170.567,388.367,0
171.071,389.214,0
180.75,387.75,0
183.278,388.667,0
184.75,389.25,0
190.559,394.029,0
192.625,395.75,0
193.033,396.367,0
193.857,397.143,0
197.583,402.75,0
197.773,402.773,0
197.6,402.7,0
196.357,393.286,0
195.5,388.577,0
195.357,389.571,0
186.682,384.864,0
184.5,382.8,0
182.889,381.333,0
182.55,380.85,0
181.833,380.214,0
178.455,377.545,0
172.955,372.727,0
171.542,371.292,0
170.944,370.315,0
170.54,369.82,0
162.833,362.944,0
158.375,359.125,0
155.417,355.917,0
145.881,345.167,0
143.833,342.643,0
138.955,335.318,0
133.5,326.591,0
132.13,324.019,0
124.636,313.273,0
122.107,309.25,0
121.077,307.577,0
120.682,306.545,0
120.773,306.091,0
119.065,301.891,0
119.357,302.167,0
121.227,300.455,0
121.342,300.289,0
130.091,292.727,0
131.31,291.548,0
136.125,293.417,0
143.13,291.574,0
144.767,291.267,0
146.167,290.567,0
159.147,288.176,0
163.773,287.227,0
166.281,286.312,0
174,280.778,0
175.2,278.85,0
175.676,278.206,0
172.439,266.136,0
172.414,261.414,0
172.716,259.149,0
181.843,244.5,0
187.53,234.712,0
189.729,231.243,0
190.294,229.824,0
194.458,223.375,0
196.45,222.75,0
200.237,224.868,0
200.237,224.868,0
200.222,227.389,0
198.278,227.222,0
196.625,236.167,0
196.208,236.333,0
182.421,240.737,0
178.129,243.471,0
176.575,244.6,0
175.257,245.338,0
173.375,243.406,0
164.429,240,0
165.371,235.952,0
166.597,228.952,0
167.2,227.7,0
167.371,227.339,0
174.447,224,0
174.7,223.786,0
175.118,223.412,0
180.443,221.471,0
184.079,218.974,0
185.043,218.3,0
196.714,220.071,0
201.458,224.292,0
201.848,224.587,0
202.091,224.636,0
202.109,226.674,0
201.107,226.143,0
198.5,234.974,0
197.853,235.206,0
187.258,244.47,0
185.472,247.056,0
184.689,248.419,0
183.557,253.843,0
179.397,269.19,0
177.74,273.3,0
168.54,283.9,0
162.776,291.5,0
161.086,293.466,0
